"","TIME","PUN","DEM","SOLAR","WIND"
"122",2015-05-02,25.98,5201740,112287.6225,44742.21425
"123",2015-05-03,16.1483333333333,4709477,44466.481,55233.872
"124",2015-05-04,31.9416666666667,5756694,102670.4645,39649.495
"125",2015-05-05,26.7658333333333,6149949,115705.7425,81330.46975
"126",2015-05-06,25.4629166666667,6138498,150935.571,108156.8825
"127",2015-05-07,28.7833333333333,6304738,162468.5665,74305.324
"128",2015-05-08,29.3725,6178065,168132.9495,29030.12025
"129",2015-05-09,15.62375,5051256,117696.2835,69257.1295
"130",2015-05-10,3.98458333333333,4801205,174331.31,132444.18475
"131",2015-05-11,29.4933333333333,6008375,187189.174,47382.66525
"132",2015-05-12,29.0529166666667,6117126,157021.6785,85629.7015
"133",2015-05-13,26.72375,5851558,178629.902,56626.68625
"134",2015-05-14,20.2725,4897376,162470.9785,46185.37975
"135",2015-05-15,30.58875,5666230,138592.713,22984.5135
"136",2015-05-16,19.3966666666667,5092412,152236.685,36853.88075
"137",2015-05-17,13.11125,4847268,138008.443,66887.4285
"138",2015-05-18,30.0045833333333,5790954,161936.0545,53795.573
"139",2015-05-19,29.2683333333333,6128699,115078.0595,58882.6025
"140",2015-05-20,34.7604166666667,6083084,106481.14,63819.6535
"141",2015-05-21,34.1195833333333,5880216,141528.6075,95590.97675
"142",2015-05-22,31.16375,5880724,151027.9425,104411.03575
"143",2015-05-23,23.9833333333333,5026911,117425.4755,80303.4015
"144",2015-05-24,19.5220833333333,4503647,151359.047,54191.441
"145",2015-05-25,24.1754166666667,4585477,115050.911,73242.05375
"146",2015-05-26,32.8995833333333,5883546,122393.558,107928.3435
"147",2015-05-27,32.2033333333333,5984401,142645.1615,123939.9245
"148",2015-05-28,30.4775,6037704,150397.448,48710.006
"149",2015-05-29,30.57375,5874654,139584.038,39226.48525
"150",2015-05-30,21.5558333333333,5028621,144829.108,53239.47075
"151",2015-05-31,14.7454166666667,4541148,142863.0635,50440.7245
"152",2015-06-01,32.2025,5856384,133516.1175,32681.46875
"153",2015-06-02,21.1883333333333,5937071,147529.68,55081.16075
"154",2015-06-03,29.5058333333333,5947948,156358.771,44128.14525
"155",2015-06-04,28.14375,5259269,198081.3155,56442.104
"156",2015-06-05,29.4783333333333,5514549,204920.094,27806.20375
"157",2015-06-06,23.1283333333333,4923107,166561.6765,34699.50575
"158",2015-06-07,18.49875,4647977,158154.1685,23206.84075
"159",2015-06-08,30.71375,5896168,139610.1695,28853.90675
"160",2015-06-09,34.0270833333333,5904237,118006.0825,70827.521
"161",2015-06-10,32.46,5910088,178336.557,50791.7215
"162",2015-06-11,35.97375,5686742,185294.827,24513.94725
"163",2015-06-12,34.9683333333333,5724284,194108.9345,66284.7855
"164",2015-06-13,25.62,4991253,136072.989,38990.326
"165",2015-06-14,18.9170833333333,4050711,154100.4075,33069.1345
"166",2015-06-15,32.3525,5838217,115557.3515,61808.894
"167",2015-06-16,37.3604166666667,5886830,138845.1545,64526.04625
"168",2015-06-17,31.52,5211045,177164.0855,75325.616
"169",2015-06-18,32.565,5982611,81516.2885,44879.53975
"170",2015-06-19,32.62875,5993195,111711.1975,80287.5765
"171",2015-06-20,27.5925,5080704,110308.8985,64568.91075
"172",2015-06-21,23.49125,4092257,114127.333,61827.0565
"173",2015-06-22,33.4491666666667,5899651,88239.589,38593.2555
"174",2015-06-23,31.6141666666667,5931646,129274.0515,57498.42975
"175",2015-06-24,31.12375,5243923,138717.5515,48177.32375
"176",2015-06-25,36.5541666666667,5963343,160841.471,33585.787
"177",2015-06-26,36.0420833333333,5864164,146725.4205,42159.81175
"178",2015-06-27,28.6441666666667,4951168,113352.0155,46862.3655
"179",2015-06-28,21.93875,4116496,177078.6945,72420.22575
"180",2015-06-29,35.9604166666667,5821173,160128.35,24526.4205
"181",2015-06-30,35.6291666666667,5910599,192839.8735,10020.99775
"182",2015-07-01,33.4220833333333,5967726,198512.7545,22401.30575
"183",2015-07-02,34.0204166666667,6030744,197886.0265,30225.073
"184",2015-07-03,45.135,6079755,192065.43,29102.71725
"185",2015-07-04,33.2491666666667,5053386,193299.222,19009.8285
"186",2015-07-05,28.0045833333333,4607155,181096.7135,17381.234
"187",2015-07-06,38.6858333333333,5903296,176235.523,45360.05625
"188",2015-07-07,47.5129166666667,6027684,176676.4715,26915.62975
"189",2015-07-08,29.3745833333333,5958837,126484.579,105342.54175
"190",2015-07-09,28.7958333333333,6012362,137159.5885,122766.78975
"191",2015-07-10,33.1779166666667,6176324,193965.915,60812.53925
"192",2015-07-11,32.6379166666667,5319957,189790.727,13881.34825
"193",2015-07-12,27.7425,4828247,140257.138,26944.49
"194",2015-07-13,40.9654166666667,6110925,77781.8485,80782.77175
"195",2015-07-14,42.3758333333333,6145977,93677.1915,60513.226
"196",2015-07-15,47.6120833333333,6083329,145606.955,35760.95475
"197",2015-07-16,45.3795833333333,6111321,170992.23,14599.55
"198",2015-07-17,38.405,6062154,176034.098,20054.4175
"199",2015-07-18,37.4833333333333,5372034,145621.0605,23546.65275
"200",2015-07-19,28.6825,4992624,104867.5655,55996.513
"201",2015-07-20,42.8754166666667,6021984,140643.5005,51735.19
"202",2015-07-21,45.6079166666667,6117054,144007.345,22662.3055
"203",2015-07-22,46.5395833333333,6145975,158509.873,22542.1785
"204",2015-07-23,47.47,6196153,122594.3745,40037.719
"205",2015-07-24,43.97625,6011551,147008.0585,25504.368
"206",2015-07-25,13.8545833333333,5170201,116704.866,89659.28075
"207",2015-07-26,13.1675,4722141,150479.80725,66959.9235
"208",2015-07-27,30.6845833333333,6074476,100692.831,53662.07375
"209",2015-07-28,24.7516666666667,6155771,128647.03,70167.74925
"210",2015-07-29,27.0445833333333,6120894,107510.6595,53078.88825
"211",2015-07-30,25.1533333333333,6158928,153633.7155,51645.417
"212",2015-07-31,30.5820833333333,6139624,188763.3165,32400.2345
"213",2015-08-01,21.7466666666667,5144447,160739.8325,50659.4135
"214",2015-08-02,17.5766666666667,4745826,164164.757,17161.9575
"215",2015-08-03,29.4608333333333,5926956,187558.552,18074.1015
"216",2015-08-04,33.4729166666667,6012007,136739.479,28268.9245
"217",2015-08-05,34.7625,5891053,171796.075,21843.4425
"218",2015-08-06,34.4820833333333,6016515,178608.0285,16807.0645
"219",2015-08-07,34.1970833333333,5907798,168092.0965,18688.687
"220",2015-08-08,28.0229166666667,4984254,156469.1155,32454.9595
"221",2015-08-09,27.21375,4549671,149688.7525,25748.888
"222",2015-08-10,34.35875,5826817,139523.97,17461.438
"223",2015-08-11,38.7808333333333,5944486,140509.454,15378.7235
"224",2015-08-12,37.535,5971630,153569.6635,15653.0145
"225",2015-08-13,33.7995833333333,6101796,172360.836,25170.048
"226",2015-08-14,30.97375,6144224,146496.1135,55174.5095
"227",2015-08-15,32.4220833333333,5205430,107031.919,31843.798
"228",2015-08-16,29.9220833333333,4684827,52796.4135,26130.522
"229",2015-08-17,40.41125,5943273,46538.7605,68192.3835
"230",2015-08-18,37.8379166666667,6038500,88862.86,114753.102
"231",2015-08-19,39.3879166666667,5942601,112482.9685,32741.7135
"232",2015-08-20,36.8991666666667,5798830,115510.841,27839.9115
"233",2015-08-21,32.56125,5854120,159047.6715,16190.918
"234",2015-08-22,26.3758333333333,5071313,177070.894,20270.089
"235",2015-08-23,16.6366666666667,4783613,163190.3455,81250.59
"236",2015-08-24,30.835,6156407,101247.3645,140245.025
"237",2015-08-25,26.7541666666667,6347619,122454.7305,71744.001
"238",2015-08-26,28.6391666666667,6304772,162720.6565,32992.485
"239",2015-08-27,31.8770833333333,6414613,114982.484,56660.5945
"240",2015-08-28,41.3245833333333,6251524,104004.3265,19855.5405
"241",2015-08-29,29.70375,5249292,159965.272,15356.0065
"242",2015-08-30,26.59875,4952895,158254.2145,47849.624
"243",2015-08-31,35.4454166666667,6202858,155638.6255,42110.3655
"244",2015-09-01,39.1133333333333,6241532,101708.434,38893.1065
"245",2015-09-02,37.8354166666667,6252573,104932.6545,96275.166
"246",2015-09-03,40.6208333333333,6394878,98652.4705,18447.6415
"247",2015-09-04,32.675,6200388,112486.3485,50381.2485
"248",2015-09-05,17.7458333333333,5477044,82276.4765,83278.1
"249",2015-09-06,2.86833333333333,4935815,102580.544,164677.8485
"250",2015-09-07,33.5370833333333,6167488,75279.424,110241.3475
"251",2015-09-08,35.4754166666667,6242535,114872.4845,43122.483
"252",2015-09-09,34.3716666666667,6141634,129993.0455,25622.8765
"253",2015-09-10,33.60875,6182280,138485.339,25857.1045
"254",2015-09-11,34.1779166666667,6090167,133686.468,34909.7005
"255",2015-09-12,29.375,5219260,127216.3385,49965.434
"256",2015-09-13,26.1591666666667,4891586,88317.8345,119900.7115
"257",2015-09-14,33.5520833333333,6120317,52150.558,145233.375
"258",2015-09-15,28.9066666666667,6293622,89051.669,65149.473
"259",2015-09-16,33.18625,6336500,68015.465,126166.5885
"260",2015-09-17,28.1204166666667,6386328,70216.0485,122074.0675
"261",2015-09-18,37.0591666666667,6278856,93345.8725,48644.0025
"262",2015-09-19,29.9783333333333,5350723,100434.8305,48846.2225
"263",2015-09-20,22.2779166666667,4899874,88040.408,118647.247
"264",2015-09-21,36.8141666666667,5701923,119215.7415,31526.212
"265",2015-09-22,33.7120833333333,6047684,64471.8125,82895.3485
"266",2015-09-23,42.98375,6116152,58254.6855,75298.504
"267",2015-09-24,31.9533333333333,6108784,90459.114,129395.9985
"268",2015-09-25,35.75125,6053172,92833.495,126337.8465
"269",2015-09-26,32.6833333333333,5117185.5,97896.9685,98084.4825
"270",2015-09-27,25.7725,4815142.5,134398.065,109844.5395
"271",2015-09-28,34.8275,5998561,133931.954,133557.3435
"272",2015-09-29,34.34125,6140980,134816.0735,87647.4605
"273",2015-09-30,37.1745833333333,6173560,141217.0905,42358.339
"274",2015-10-01,39.1108333333333,6198493,142380.47,24259.978
"275",2015-10-02,37.59125,6046176,139357.912,76332.393
"276",2015-10-03,28.9208333333333,4883648,114638.9275,118591.965
"277",2015-10-04,31.1708333333333,4749531,69819.6395,24188.8295
"278",2015-10-05,39.1679166666667,6045606,88564.941,22582.8725
"279",2015-10-06,37.3120833333333,6216052,48973.6865,50979.793
"280",2015-10-07,40.7995833333333,6226010,32049.517,29703.7325
"281",2015-10-08,47.3170833333333,6252458,40692.607,32818.1625
"282",2015-10-09,44.1629166666667,6132600,51051.2975,21886.39
"283",2015-10-10,32.71375,5182522,65900.5185,37109.9495
"284",2015-10-11,22.0733333333333,4863541,105793.6505,119369.233
"285",2015-10-12,35.5729166666667,6160497,122020.85,100650.7835
"286",2015-10-13,42.1641666666667,6314701,71653.881,38338.2495
"287",2015-10-14,44.7908333333333,6297658,32284.9895,64513.009
"288",2015-10-15,39.67125,6301304,17222.823,89035.413
"289",2015-10-16,47.7479166666667,6212408,18560.2085,23891.04
"290",2015-10-17,40.2941666666667,5304262,46239.5465,25235.081
"291",2015-10-18,37.7679166666667,4898518,39629.102,15174.3135
"292",2015-10-19,50.4554166666667,6151589,40630.2715,52683.9295
"293",2015-10-20,48.3466666666667,6287973,34558.083,108930.672
"294",2015-10-21,41.2966666666667,6322703,41725.793,55638.1705
"295",2015-10-22,37.1370833333333,6410436,22418.508,47838.105
"296",2015-10-23,38.2908333333333,6258341,53845.901,88015.5645
"297",2015-10-24,32.4508333333333,5572013,70370.328,38291.359
"298",2015-10-25,33.73125,4962798,47663.4805,NA
"299",2015-10-26,39.36625,6088971,72408.2245,36546.4405
"300",2015-10-27,40.5504166666667,6258104,72848.1605,99575.6805
"301",2015-10-28,42.30125,6362500,57234.796,116949.5345
"302",2015-10-29,49.6754166666667,6397649,47736.0635,34612.815
"303",2015-10-30,43.07,6339333,58873.9005,21806.037
"304",2015-10-31,35.4145833333333,5380107,71121.523,70327.4345
"305",2015-11-01,31.6804166666667,4906639,70704.9155,130583.915
"306",2015-11-02,40.1983333333333,6148407,68015.315,104872.5175
"307",2015-11-03,41.6116666666667,6413498,77041.881,65957.0545
"308",2015-11-04,42.2591666666667,6425367,57450.1735,18076.5065
"309",2015-11-05,43.8475,6408351,56276.235,24749.2565
